20.16,167.16,267.16,384.16,565.16,710.16,822.16,1012.16,1208.71,1343.16,
20.80,167.80,267.80,384.80,565.80,710.80,822.80,1012.80,1209.25,1343.80,
21.45,168.45,268.45,385.45,566.45,711.45,823.45,1013.45,1209.79,1344.45,
22.11,169.11,269.11,386.11,567.11,712.11,824.11,1014.11,1210.33,1345.11,
22.78,169.78,269.78,386.78,567.78,712.78,824.78,1014.78,1210.87,1345.78,
23.46,170.46,270.46,387.46,568.46,713.46,825.46,1015.46,1211.41,1346.46,
24.15,171.15,271.15,388.15,569.14,714.15,826.15,1016.15,1211.95,1347.15,
24.85,171.85,271.85,388.85,569.82,714.85,826.85,1016.85,1212.49,1347.85,
25.56,172.56,272.56,389.56,570.50,715.56,827.56,1017.56,1213.03,1348.56,
26.28,173.28,273.28,390.28,571.18,716.28,828.28,1018.28,1213.57,1349.28,
27.01,174.01,274.01,391.01,571.86,717.01,829.01,1019.01,1214.11,1350.01,
27.75,174.75,274.75,391.75,572.54,717.75,829.75,1019.75,1214.65,1350.75,
28.50,175.50,275.49,392.50,573.22,718.50,830.50,1020.50,1215.19,1351.50,
29.26,176.26,276.23,393.26,573.90,719.26,831.26,1021.26,1215.73,1352.26,
30.03,177.03,276.97,394.03,574.58,720.03,832.03,1022.03,1216.27,1353.03,
30.80,177.81,277.71,394.81,575.26,720.81,832.81,1022.81,1216.81,1353.81,
31.57,178.60,278.45,395.60,575.94,721.60,833.60,1023.60,1217.35,1354.60,
32.34,179.40,279.19,396.40,576.62,722.40,834.40,1024.40,1217.89,1355.40,
33.11,180.21,279.93,397.21,577.30,723.21,835.21,1025.21,1218.43,1356.21,
33.88,181.03,280.67,398.03,577.98,724.03,836.02,1026.03,1218.97,1357.03,
34.65,181.86,281.41,398.86,578.66,724.86,836.83,1026.86,1219.51,1357.86,
35.42,182.70,282.15,399.70,579.34,725.70,837.64,1027.70,1220.05,1358.70,
36.19,183.55,282.89,400.55,580.02,726.55,838.45,1028.55,1220.59,1359.55,
36.96,184.41,283.63,401.41,580.70,727.41,839.26,1029.41,1221.13,1360.41,
37.73,185.28,284.37,402.28,581.38,728.28,840.07,1030.28,1221.67,1361.28,
38.50,186.16,285.11,403.16,582.06,729.16,840.88,1031.16,1222.21,1362.16,
39.27,187.05,285.85,404.05,582.74,730.04,841.69,1032.05,1222.75,1363.05,
40.04,187.95,286.59,404.95,583.42,730.92,842.50,1032.95,1223.29,1363.95,
40.81,188.86,287.33,405.86,584.10,731.80,843.31,1033.86,1223.83,1364.86,
41.58,189.78,288.07,406.78,584.78,732.68,844.12,1034.77,1224.37,1365.78,
42.35,190.71,288.81,407.71,585.46,733.56,844.93,1035.68,1224.91,1366.71,
43.12,191.65,289.55,408.65,586.14,734.44,845.74,1036.59,1225.45,1367.65,
43.89,192.60,290.29,409.60,586.82,735.32,846.55,1037.50,1225.99,1368.60,
44.66,193.55,291.03,410.56,587.50,736.20,847.36,1038.41,1226.53,1369.56,
45.43,194.50,291.77,411.53,588.18,737.08,848.17,1039.32,1227.07,1370.53,
46.20,195.45,292.51,412.50,588.86,737.96,848.98,1040.23,1227.61,1371.50,
46.97,196.40,293.25,413.47,589.54,738.84,849.79,1041.14,1228.15,1372.47,
47.74,197.35,293.99,414.44,590.22,739.72,850.60,1042.05,1228.69,1373.44,
48.51,198.30,294.73,415.41,590.90,740.60,851.41,1042.96,1229.23,1374.41,
49.28,199.25,295.47,416.38,591.58,741.48,852.22,1043.87,1229.77,1375.38,
50.05,200.20,296.21,417.35,592.26,742.36,853.03,1044.78,1230.31,1376.35,
50.82,201.15,296.95,418.32,592.94,743.24,853.84,1045.69,1230.85,1377.32,
51.59,202.10,297.69,419.29,593.62,744.12,854.65,1046.60,1231.39,1378.29,
52.36,203.05,298.43,420.26,594.30,745.00,855.46,1047.51,1231.93,1379.26,
53.13,204.00,299.17,421.23,594.98,745.88,856.27,1048.42,1232.47,1380.23,
53.90,204.95,299.91,422.20,595.66,746.76,857.08,1049.33,1233.01,1381.20,
54.67,205.90,300.65,423.17,596.34,747.64,857.89,1050.24,1233.55,1382.17,
55.44,206.85,301.39,424.14,597.02,748.52,858.70,1051.15,1234.09,1383.14,
56.21,207.80,302.13,425.11,597.70,749.40,859.51,1052.06,1234.63,1384.11,
56.98,208.75,302.87,426.08,598.38,750.28,860.32,1052.97,1235.17,1385.08,
57.75,209.70,303.61,427.05,599.06,751.16,861.13,1053.88,1235.71,1386.05,
58.52,210.65,304.35,428.02,599.74,752.04,861.94,1054.79,1236.25,1387.02,
59.29,211.60,305.09,428.99,600.42,752.92,862.75,1055.70,1236.79,1387.99,
60.06,212.55,305.83,429.96,601.10,753.80,863.56,1056.61,1237.33,1388.96,
60.83,213.50,306.57,430.93,601.78,754.68,864.37,1057.52,1237.87,1389.93,
61.60,214.45,307.31,431.90,602.46,755.56,865.18,1058.43,1238.41,1390.90,
62.37,215.40,308.05,432.87,603.14,756.44,865.99,1059.34,1238.95,1391.87,
63.14,216.35,308.79,433.84,603.82,757.32,866.80,1060.25,1239.49,1392.84,
63.91,217.30,309.53,434.81,604.50,758.20,867.61,1061.16,1240.03,1393.81,
64.68,218.25,310.27,435.78,605.18,759.08,868.42,1062.07,1240.57,1394.78,
65.45,219.20,311.01,436.75,605.86,759.96,869.23,1062.98,1241.11,1395.75,
66.22,220.15,311.75,437.72,606.54,760.84,870.04,1063.89,1241.65,1396.72,
66.99,221.10,312.49,438.69,607.22,761.72,870.85,1064.80,1242.19,1397.69,
67.76,222.05,313.23,439.66,607.90,762.60,871.66,1065.71,1242.73,1398.66,
68.53,223.00,313.97,440.63,608.58,763.48,872.47,1066.62,1243.27,1399.63,
69.30,223.95,314.71,441.60,609.26,764.36,873.28,1067.53,1243.81,1400.60,
70.07,224.90,315.45,442.57,609.94,765.24,874.09,1068.44,1244.35,1401.57,
70.84,225.85,316.19,443.54,610.62,766.12,874.90,1069.35,1244.89,1402.54,
71.61,226.80,316.93,444.51,611.30,767.00,875.71,1070.26,1245.43,1403.51,
72.38,227.75,317.67,445.48,611.98,767.88,876.52,1071.17,1245.97,1404.48,
73.15,228.70,318.41,446.45,612.66,768.76,877.33,1072.08,1246.51,1405.45,
73.92,229.65,319.15,447.42,613.34,769.64,878.14,1072.99,1247.05,1406.42,
74.69,230.60,319.89,448.39,614.02,770.52,878.95,1073.90,1247.59,1407.39,
75.46,231.55,320.63,449.36,614.70,771.40,879.76,1074.81,1248.13,1408.36,
76.23,232.50,321.37,450.33,615.38,772.28,880.57,1075.72,1248.67,1409.33,
77.00,233.45,322.11,451.30,616.06,773.16,881.38,1076.63,1249.21,1410.30,
77.77,234.40,322.85,452.27,616.74,774.04,882.19,1077.54,1249.75,1411.27,
78.54,235.35,323.59,453.24,617.42,774.92,883.00,1078.45,1250.29,1412.24,
79.31,236.30,324.33,454.21,618.10,775.80,883.81,1079.36,1250.83,1413.21,
80.08,237.25,325.07,455.18,618.78,776.68,884.62,1080.27,1251.37,1414.18,
80.85,238.20,325.81,456.15,619.46,777.56,885.43,1081.18,1251.91,1415.15,
81.62,239.15,326.55,457.12,620.14,778.44,886.24,1082.09,1252.45,1416.12,
82.39,240.10,327.29,458.09,620.82,779.32,887.05,1083.00,1252.99,1417.09,
83.16,241.05,328.03,459.06,621.50,780.20,887.86,1083.91,1253.53,1418.06,
83.93,242.00,328.77,460.03,622.18,781.08,888.67,1084.82,1254.07,1419.03,
84.70,242.95,329.51,461.00,622.86,781.96,889.48,1085.73,1254.61,1420.00,
85.47,243.90,330.25,461.97,623.54,782.84,890.29,1086.64,1255.15,1420.97,
86.24,244.85,330.99,462.94,624.22,783.72,891.10,1087.55,1255.69,1421.94,
87.01,245.80,331.73,463.91,624.90,784.60,891.91,1088.46,1256.23,1422.91,
87.78,246.75,332.47,464.88,625.58,785.48,892.72,1089.37,1256.77,1423.88,
88.55,247.70,333.21,465.85,626.26,786.36,893.53,1090.28,1257.31,1424.85,
89.32,248.65,333.95,466.82,626.94,787.24,894.34,1091.19,1257.85,1425.82,
